step,perf/dataload_seconds,perf/samples_per_second,perf/update_seconds,system/gpu_memory_gb,train/episodes,train/epoch,train/grad_norm,train/learning_rate,train/loss,train/samples
10800.0,0.002,223.0,0.141,2.86,2000.0,0.52,1.563,7.2e-05,0.415,346000.0
10850.0,0.003,220.0,0.143,2.86,2000.0,0.52,1.728,7.2e-05,0.411,347000.0
10900.0,0.003,222.0,0.141,2.86,2000.0,0.52,1.602,7.2e-05,0.415,349000.0
10950.0,0.003,220.0,0.143,2.86,2000.0,0.52,1.581,7.1e-05,0.398,350000.0
11000.0,0.003,221.0,0.142,2.87,2000.0,0.53,1.474,7.1e-05,0.415,352000.0
11050.0,0.003,224.0,0.14,2.87,2000.0,0.53,1.49,7.1e-05,0.413,354000.0
11100.0,0.003,219.0,0.144,2.86,2000.0,0.53,1.452,7.1e-05,0.419,355000.0
11150.0,0.003,218.0,0.144,2.86,2000.0,0.53,1.574,7e-05,0.406,357000.0
11200.0,0.003,221.0,0.142,2.86,2000.0,0.54,1.562,7e-05,0.413,358000.0
11250.0,0.003,219.0,0.144,2.87,2000.0,0.54,1.592,7e-05,0.409,360000.0
11300.0,0.003,219.0,0.144,2.86,2000.0,0.54,1.494,7e-05,0.408,362000.0
11350.0,0.003,218.0,0.144,2.86,2000.0,0.54,1.571,7e-05,0.413,363000.0
11400.0,0.002,221.0,0.142,2.86,2000.0,0.55,1.554,6.9e-05,0.412,365000.0
11450.0,0.003,221.0,0.142,2.86,2000.0,0.55,1.515,6.9e-05,0.406,366000.0
11500.0,0.003,221.0,0.142,2.86,2000.0,0.55,1.515,6.9e-05,0.406,368000.0
11550.0,0.003,216.0,0.146,2.86,2000.0,0.55,1.45,6.9e-05,0.41,370000.0
11600.0,0.003,222.0,0.141,2.86,2000.0,0.55,1.426,6.8e-05,0.401,371000.0
11650.0,0.003,220.0,0.143,2.86,3000.0,0.56,1.518,6.8e-05,0.403,373000.0
11700.0,0.002,223.0,0.141,2.86,3000.0,0.56,1.496,6.8e-05,0.397,374000.0
11750.0,0.003,215.0,0.146,2.86,3000.0,0.56,1.59,6.8e-05,0.415,376000.0
11800.0,0.003,223.0,0.141,2.86,3000.0,0.56,1.597,6.7e-05,0.403,378000.0
11850.0,0.003,220.0,0.143,2.86,3000.0,0.57,1.5,6.7e-05,0.417,379000.0
11900.0,0.003,217.0,0.145,2.86,3000.0,0.57,1.441,6.7e-05,0.395,381000.0
11950.0,0.003,223.0,0.141,2.86,3000.0,0.57,1.629,6.7e-05,0.409,382000.0
12000.0,0.003,222.0,0.141,2.86,3000.0,0.57,1.704,6.6e-05,0.404,384000.0
12050.0,0.002,219.0,0.144,2.86,3000.0,0.58,1.576,6.6e-05,0.402,386000.0
12100.0,0.003,222.0,0.142,2.86,3000.0,0.58,1.499,6.6e-05,0.395,387000.0
12150.0,0.003,219.0,0.144,2.86,3000.0,0.58,1.379,6.6e-05,0.406,389000.0
12200.0,0.002,219.0,0.144,2.86,3000.0,0.58,1.507,6.5e-05,0.403,390000.0
12250.0,0.003,218.0,0.144,2.86,3000.0,0.59,1.525,6.5e-05,0.406,392000.0
12300.0,0.003,221.0,0.142,2.86,3000.0,0.59,1.374,6.5e-05,0.399,394000.0
12350.0,0.003,219.0,0.143,2.86,3000.0,0.59,1.52,6.5e-05,0.4,395000.0
12400.0,0.003,222.0,0.141,2.86,3000.0,0.59,1.584,6.4e-05,0.4,397000.0
12450.0,0.002,219.0,0.143,2.86,3000.0,0.6,1.413,6.4e-05,0.403,398000.0
12500.0,0.003,220.0,0.143,2.86,3000.0,0.6,1.592,6.4e-05,0.406,400000.0
12550.0,0.003,223.0,0.141,2.86,3000.0,0.6,1.464,6.4e-05,0.399,402000.0
12600.0,0.003,219.0,0.144,2.86,3000.0,0.6,1.425,6.3e-05,0.406,403000.0
12650.0,0.002,220.0,0.143,2.86,3000.0,0.61,1.458,6.3e-05,0.41,405000.0
12700.0,0.003,219.0,0.143,2.86,3000.0,0.61,1.528,6.3e-05,0.413,406000.0
12750.0,0.003,214.0,0.147,2.86,3000.0,0.61,1.5,6.3e-05,0.402,408000.0
12800.0,0.003,223.0,0.14,2.86,3000.0,0.61,1.483,6.3e-05,0.406,410000.0
12850.0,0.003,219.0,0.143,2.86,3000.0,0.61,1.505,6.2e-05,0.398,411000.0
12900.0,0.003,220.0,0.143,2.86,3000.0,0.62,1.464,6.2e-05,0.4,413000.0
12950.0,0.003,222.0,0.141,2.86,3000.0,0.62,1.467,6.2e-05,0.399,414000.0
13000.0,0.003,219.0,0.143,2.86,3000.0,0.62,1.497,6.2e-05,0.393,416000.0
13050.0,0.003,220.0,0.143,2.86,3000.0,0.62,1.591,6.1e-05,0.398,418000.0
13100.0,0.003,222.0,0.142,2.86,3000.0,0.63,1.525,6.1e-05,0.397,419000.0
13150.0,0.003,220.0,0.143,2.86,3000.0,0.63,1.387,6.1e-05,0.383,421000.0
13200.0,0.003,222.0,0.141,2.86,3000.0,0.63,1.478,6.1e-05,0.4,422000.0
13250.0,0.003,219.0,0.143,2.87,3000.0,0.63,1.591,6e-05,0.394,424000.0
13300.0,0.003,220.0,0.142,2.86,3000.0,0.64,1.475,6e-05,0.392,426000.0
13350.0,0.003,221.0,0.142,2.86,3000.0,0.64,1.407,6e-05,0.388,427000.0
13400.0,0.003,220.0,0.143,2.86,3000.0,0.64,1.385,6e-05,0.399,429000.0
13450.0,0.003,223.0,0.141,2.86,3000.0,0.64,1.416,5.9e-05,0.395,430000.0
13500.0,0.003,220.0,0.143,2.86,3000.0,0.65,1.463,5.9e-05,0.393,432000.0
13550.0,0.002,221.0,0.142,2.86,3000.0,0.65,1.422,5.9e-05,0.394,434000.0
13600.0,0.003,221.0,0.142,2.87,3000.0,0.65,1.441,5.8e-05,0.397,435000.0
13650.0,0.003,221.0,0.142,2.87,3000.0,0.65,1.387,5.8e-05,0.39,437000.0
13700.0,0.003,217.0,0.145,2.86,3000.0,0.66,1.528,5.8e-05,0.397,438000.0
13750.0,0.003,221.0,0.142,2.86,3000.0,0.66,1.412,5.8e-05,0.379,440000.0
